OP,A1,A2,A3,A4,A5
+,6782,3627,5339,3322,580
+,7803,6291,453,3877,625
+,4245,9621,8150,6276,6784
-,4879,197,2139,2034,5316
+,4422,1005,4063,8332,6794
+,2157,3256,4873,5476,9534
+,3926,4499,2610,8913,8586
+,5289,2600,2794,6552,6612
+,4029,6529,4248,6559,779
+,2112,3647,1451,8226,9548
+,8572,1286,5717,2891,4081
+,4941,5785,2800,2387,4860
+,5260,9730,260,710,222
+,1681,9131,7517,1484,8360
-,8364,4526,7335,3381,2210
+,9689,4607,1969,2584,4535
+,8655,323,4128,3004,8132
+,5477,6117,7645,7630,8733
+,598,5886,2583,3185,8148
+,4714,2351,5709,5584,3489
+,4432,68,5633,6176,6558
+,8581,9872,3059,2150,5017
+,1888,334,5865,699,8462
+,3582,326,6314,47,9955
+,409,80,2219,9623,1106
-,8854,2346,6199,2102,7159
+,5849,5821,6504,4723,427
+,6350,7763,1648,5333,6800
+,86,5656,5923,1912,6474
+,9230,3922,1223,5906,9439
+,9647,310,5029,4816,3902
+,4843,6569,7900,4338,944
+,3183,5234,4629,5170,8205
+,913,3485,7688,7,3011
+,8205,4530,3132,8822,5826
+,7479,2351,2591,8000,680
-,6416,5842,1143,6543,93
+,1177,8416,3556,2017,342
+,5014,3655,3409,6126,587
+,8831,8322,9596,997,2513
+,868,9990,8442,4765,5422
+,7722,2180,9595,8907,7320
+,9544,7363,596,8148,873
+,305,7238,5015,7749,8704
+,9861,4007,1306,3947,1040
+,4705,6451,3896,8563,5749
+,2005,7066,7271,9004,4240
-,5070,611,5519,7429,887
+,816,7525,8993,225,5474
+,2685,7504,7643,2898,425
+,9714,2399,3082,2674,2780
+,181,4816,6742,2882,249
+,2935,2889,2559,3391,4516
+,4353,9323,3186,7215,5935
+,5863,1939,6514,6761,4068
+,8363,2697,5397,5165,9598
+,7143,8861,6912,5166,4844
+,4126,137,6407,2830,8977
-,9254,5821,6379,102,8228
+,3407,1922,7684,6894,939
+,5627,5336,5317,3154,8821
+,4738,5651,9022,1072,2072
+,2505,8274,32,1687,9432
+,5563,7861,1031,568,9650
+,3728,7325,6397,8548,2837
+,5280,1731,3615,6531,4505
+,2611,157,2219,8737,4479
+,4816,5050,2042,8596,7288
+,1247,8784,9482,8806,9638
-,6830,7111,550,3765,1228
+,4159,5381,7284,9975,9529
+,5006,1818,7103,6546,5481
+,4955,1468,9508,1590,2337
+,6222,4577,4547,7973,2989
+,7642,6672,4280,7332,559
+,6107,4485,3544,5291,1150
+,530,7281,5012,7068,8929
+,8454,9064,3038,3568,9825
+,333,8582,7960,7326,643
+,8377,7709,7349,7267,6483
-,697,4750,3925,9881,5018
+,5,3767,5418,5427,6004
+,4895,7831,7299,8738,6834
+,4644,5384,5053,3567,2669
+,2723,2262,5925,690,4344
+,4656,2172,7331,4575,6428
+,3762,7726,2619,6150,2327
+,1665,3266,8784,2545,8820
+,6779,6064,9095,1000,4009
+,3946,9655,138,4488,6008
+,3660,5380,6041,5410,8287
-,9895,1544,1880,8596,7599
+,5556,2679,716,2281,3082
+,4734,6991,6897,8077,2967
+,1848,9517,6679,2160,2715
+,341,4242,4169,8098,8522
+,9584,8971,4239,9802,2442
+,9258,8286,1471,828,5649
+,9044,991,1729,3149,6065
+,3272,9072,9488,6288,5804
+,7256,2738,9012,4826,9940
+,1755,8458,4626,7204,7317
-,5228,3440,4174,487,9636
+,4122,5070,3250,3641,5208
+,4212,7422,4803,4037,4848
+,9870,8501,2717,3628,4900
+,5596,6395,1524,4232,7010
+,2684,3625,9215,9901,121
+,5646,3686,5633,5597,8567
+,992,7393,1468,7291,4593
+,4583,6426,7319,9016,3436
+,7417,2515,7183,4153,2610
+,93,2205,7398,2463,6402
-,459,8481,6891,4977,9794
+,1719,3657,4646,9588,3603
+,6066,8053,5940,3762,9944
+,114,7248,8078,1255,6092
+,5125,1286,518,9823,755
+,1225,9619,9358,5911,3481
+,7988,8625,6754,1635,7725
+,2312,5262,2738,7651,9864
+,7089,9768,7953,5231,5453
+,2745,1170,6592,3654,2412
+,6122,8286,6697,613,6229
-,5143,6939,378,1025,239
+,9065,8649,3013,6467,5056
+,5436,9643,5246,2842,5289
+,9467,6143,2724,6438,4825
+,5179,5197,4032,6583,605
+,5034,5086,4059,3742,3085
+,2869,4629,1559,5546,4638
+,927,4065,5190,9986,8265
+,8336,2919,36,2110,7699
+,2121,2268,8302,7536,188
+,8810,9343,5516,225,5436
-,7122,4057,1985,1522,2734
+,1368,213,3245,7946,9673
+,5170,2866,6580,9809,9701
+,6318,8861,7098,3488,9741
+,4060,8766,3260,3537,1710
+,745,5950,371,2837,6357
+,940,6587,5716,9021,9623
+,4490,7256,3690,4457,2670
+,9057,2549,5985,2068,3483
+,9172,1638,6755,1246,2210
+,7529,3632,777,6957,8217
-,6225,7037,8459,8788,7350
+,6574,2766,8911,3405,7655
+,279,5252,7797,2935,1956
+,2012,9159,7818,3121,1857
+,2520,1432,4338,9467,5666
+,9084,2727,1575,5945,489
+,6751,236,6592,2981,1637
+,2677,560,784,516,7594
+,4831,9117,9276,1568,1417
+,3496,1624,1655,3048,8075
+,463,7992,1920,9213,2008
-,7848,9509,397,7970,6658
+,8072,4931,7271,5468,1092
+,4850,6998,2899,3174,3337
+,7919,6654,4767,1754,9503
+,5505,8733,9472,2978,9233
+,5925,7252,881,1990,9554
+,866,9912,9161,5764,5365
+,9116,6031,6780,3003,5529
+,671,5100,6489,3244,9758
+,5946,8637,552,1694,4754
+,1116,5501,4125,2258,8355
-,1931,7562,3764,5739,2899
+,8272,5844,3375,1759,9404
+,6502,1173,8352,7824,1104
+,9347,3494,5812,2720,2927
+,2255,8538,603,5193,244
+,2973,8591,2441,6514,5132
+,9385,6207,4560,9520,1390
+,8498,206,3234,535,3047
+,2175,4085,4493,4866,5278
+,9014,1294,9997,3280,8012
+,2006,1222,3745,5706,6669
-,4954,519,788,5289,4722
+,5498,5391,3257,3571,3050
+,7732,395,2227,8758,9286
+,5692,8987,2767,1870,5235
+,5039,3072,2053,4938,578
+,3425,7976,5737,191,7219
+,168,72,5075,6815,8860
+,2894,679,4355,770,8417
+,8784,7520,7914,2422,3755
+,6932,6770,922,5377,5147
+,5877,227,9054,390,1491
-,5794,5460,4490,5588,5726
+,8907,7131,4407,2359,8739
+,9391,2390,7524,2374,1138
+,8847,3787,7393,4405,1501
+,9900,2976,7521,2770,5424
+,3883,1452,9357,9636,7724
+,6400,8938,5740,768,4786
+,2269,6511,9345,5622,3622
+,1461,3637,5611,3392,4722
+,6006,6331,431,5965,5674
+,307,6372,8531,3421,7549
-,8046,2941,8476,7708,5723
+,9615,3497,4579,417,8792
+,5207,1624,7710,5278,6392
+,8653,2860,94,4798,1054
+,9368,8847,4674,2652,5543
+,4247,9009,7755,65,5110
+,2049,3355,6714,1315,5442
+,8235,8693,5828,3919,4070
+,9746,6658,8297,8064,3470
+,8195,7192,7283,9995,5399
+,9455,5675,7638,9951,2612
-,1953,9972,9949,2055,5567
+,4853,4189,5649,5808,3941
+,6655,7056,7676,5658,3808
+,1862,5870,1825,6733,8291
+,6183,3391,3017,7157,8351
+,713,3750,4335,2706,9400
+,8602,7657,1923,5556,2399
+,2161,7555,4307,1501,1588
+,116,9267,4644,6409,4822
+,5045,2466,344,5477,9361
+,3692,492,2273,6512,8239
-,9258,8286,1471,828,5649
+,7615,1425,5876,4072,7254
+,5290,9132,3698,2092,6044
+,2278,5986,2384,2351,2668
+,3168,2396,1461,2176,8684
+,3515,1552,9499,8131,585
+,1444,5767,2004,4535,5587
+,8731,6559,7710,6972,1684
+,8264,6332,7968,9947,3834
+,786,4477,89,6076,3078
+,6187,1895,1054,8625,6242
-,8488,4599,8800,1030,7721
+,6971,6140,4253,5444,2774
+,1749,5460,2518,2916,1483
+,3757,6394,3426,7713,8227
+,32,6499,3121,3116,3925
+,6872,1344,4808,4684,9150
+,1922,5480,5326,3658,3613
+,951,5957,5599,8466,5119
+,3904,3279,8482,6426,4846
+,8804,3892,4144,8652,7847
+,618,2587,7673,7180,599
-,4329,9255,3355,7084,4869
+,8308,2072,1154,7676,4204
+,6506,9563,1954,4475,1820
+,1069,4106,4370,3265,6330
+,8302,1021,621,8446,3381
+,5648,808,8960,36,1727
+,9825,1588,4778,3578,5072
+,2710,7716,6822,5677,1464
+,7782,252,5697,6543,9619
+,2026,7882,6344,3490,9472
+,8644,253,1267,6471,8590
-,1545,1499,1976,8622,3834
+,2193,2371,5309,2902,7299
+,1762,8263,798,3262,6295
+,6581,2734,3108,1824,9238
+,1164,5698,1355,406,4057
+,99,1247,3762,2246,3886
+,2664,7092,4652,2949,8994
+,6351,9469,2174,8114,9297
+,6763,7931,1399,1089,3780
+,106,7670,3011,635,7354
+,8012,1384,9219,2480,4661
-,4564,5464,6769,5167,5620
+,6529,5102,5629,6844,1866
+,5905,4874,7178,6129,4063
+,4595,8798,1701,1899,7228
+,9916,5476,4690,5390,4976
+,6208,4976,63,9158,3520
+,9522,1371,5979,4365,3630
+,9967,2617,173,1223,8865
+,7192,8565,1891,647,6026
+,9437,2037,9559,6552,2886
+,6887,3896,7908,1633,2952
-,7788,7328,7412,2785,7881
+,9103,7710,2066,6590,7100
+,1643,3185,5239,4950,1203
+,177,6024,8521,2778,6045
+,9020,6418,8752,6370,1349
+,9186,2921,4776,7522,1639
+,2044,5066,3166,3127,9053
+,2332,9139,324,5867,5532
+,210,6321,6913,8851,7967
+,6850,836,6608,4996,2252
+,8943,2220,9860,8546,4481
-,677,4558,7381,6138,9299
+,2456,6604,8382,7588,143
+,3681,5211,9713,9123,3819
+,6203,5678,6169,6865,943
+,2754,5444,2970,9011,1875
+,572,3732,1223,6629,6723
+,3642,4036,1170,3732,3513
+,8337,170,1426,5465,18
+,6538,6879,5996,801,9198
+,5193,7166,4846,5963,5223
+,627,3477,6671,2579,2300
-,5256,3079,2842,6636,1606
+,9279,6532,5531,7456,9725
+,1417,7653,9992,1812,854
+,2422,643,9269,9220,10000
+,6143,8283,8755,1432,2586
+,2328,8597,7625,4576,2983
+,3630,9778,5095,9776,3104
+,4988,8865,800,6182,7524
+,5171,1492,4872,2820,4175
+,7395,2909,4427,2571,4287
+,2916,2430,7496,2010,8367
-,4196,7880,9854,3065,2929
+,7910,5556,3794,5207,3574
+,7598,8172,4113,7860,9691
+,7579,3833,9209,2608,998
+,9607,5277,9851,1339,8878
+,108,5898,266,7981,6063
+,1821,990,3419,7152,60
+,8710,1642,4235,2752,6756
+,9635,1339,939,4034,9986
+,9190,6461,7319,4083,7462
+,6256,1974,7827,5891,5735
-,8117,6711,147,2794,1781
+,2954,7961,7440,639,9575
+,5529,7454,1355,1949,1766
+,8924,3337,8673,7286,7911
+,6517,3691,9497,3133,2893
+,5464,7911,8551,62,1905
+,558,3867,3374,2995,4446
+,9677,7265,2549,1348,4363
+,2690,1341,2107,7854,1050
+,3829,5588,5310,7532,3829
+,5447,4829,2076,7890,1527
-,4041,2128,6261,4647,5236
+,9335,5165,8974,8143,573
+,9890,5417,6725,7757,6150
+,9688,1301,1483,9546,1935
+,1307,1336,2370,8878,7006
+,9505,1972,4840,2586,3749
+,5197,9062,226,4335,4656
+,3108,1703,5102,618,1467
+,7347,2934,7130,7310,3874
+,500,2151,7485,1541,2779
+,5176,3010,8730,5575,6280
-,4467,1371,4388,2664,51
+,5206,698,602,9496,368
+,3857,6548,2154,4685,688
+,3957,3398,3783,869,8411
+,293,9322,4382,5651,2700
+,2366,1333,2553,9699,5264
+,6385,7152,6118,3337,2537
+,5783,6669,4637,7670,9794
+,2596,2746,5452,3698,5834
+,6374,6448,8949,9363,5760
+,6708,2274,8572,487,3695
-,9304,8023,1825,2157,403
+,3063,9116,7037,2821,4498
+,6953,1138,2681,1999,3370
+,1974,3078,9698,8282,298
+,9028,2919,5679,1785,9190
+,6148,7522,3621,5365,8261
+,9129,6143,4828,9203,4911
+,9377,771,858,240,3895
+,3151,511,2531,4252,7900
+,3252,2319,8382,1215,6073
+,8880,3124,8533,7045,4304
-,4576,3206,3618,7311,8024
+,234,7628,4332,6814,9495
+,7831,1740,3798,8086,4952
+,3588,199,7351,446,3166
+,5938,4765,4078,5990,1150
+,610,6957,8932,5922,9359
+,7720,7267,3443,285,1302
+,2293,5531,9361,8162,2790
+,7928,1497,5898,7282,300
+,6578,9916,1172,55,2085
+,6472,9970,729,2425,840
-,4558,1115,4813,1969,5103
+,2943,1887,5068,2320,6541
+,9071,6129,4727,107,4010
+,5706,9459,3499,85,7250
+,5514,6485,5165,6072,1472
+,7313,5141,2120,3621,356
+,9453,2885,4020,2774,3964
+,5564,8364,9922,5949,7096
+,1889,9612,8136,868,4235
+,7105,2477,597,410,943
+,8165,2138,1091,5142,4531
-,6809,9721,9387,4392,4240
+,6172,9619,2044,7357,2234
+,1677,508,1166,8459,9640
+,3742,4093,7163,2973,5142
+,8459,6935,8025,5310,5282
+,4110,2324,8966,266,1320
+,9571,1332,4548,5967,5297
+,2695,2140,2281,5560,1775
+,534,4020,3793,6895,6199
+,37,471,2558,7395,797
+,8194,5893,2604,6642,2627
-,9173,363,2414,8342,7104
+,7950,127,5307,9471,7212
+,4755,83,5665,3180,1234
+,8928,6422,333,4220,5063
+,2507,7909,8712,7076,7181
+,5253,3600,9608,4942,3021
+,1797,6167,9828,3592,1364
+,8048,5666,1064,3935,1883
+,6149,7713,273,4633,8437
+,3782,323,3689,8651,1246
+,5359,7018,1062,305,3554
-,244,438,7008,4360,3742
+,468,2085,572,1359,4865
+,167,9169,1635,377,1486
+,2127,3966,3848,8655,1513
+,6293,9695,7066,7812,7726
+,4314,4380,5049,6849,994
+,3178,1513,5689,8105,2388
+,5939,3195,2600,7782,4764
+,1637,7914,3066,7318,367
+,7638,1459,1271,6530,8898
+,8268,4735,8345,4413,1553
-,3479,1305,8948,2113,5227
+,4703,742,2572,8773,8550
+,9086,80,4215,8297,8660
+,6921,2822,2844,8153,5335
+,8329,8171,1846,5772,2877
+,6466,504,1685,1062,6089
+,1155,1585,2737,3746,9012
+,9734,5343,6936,1047,536
+,9089,8610,5097,4871,1961
+,1556,28,7399,6812,4394
+,311,2363,9760,8005,7283
-,2373,2321,1665,4554,5585
+,318,6994,1467,3468,4860
+,3281,3560,1668,3444,4093
+,4241,9823,1171,1705,8105
+,66,4306,6244,3481,9071
+,8899,248,8960,3509,500
+,889,1504,1264,7237,8364
+,4857,8166,7818,5150,2159
+,454,2146,5952,1984,4936
+,2159,4239,1837,1930,4472
+,2602,4781,3075,1282,4711
-,224,9624,7524,4755,5997
+,5661,7824,8460,483,3286
+,7407,1967,5170,25,5881
+,2406,2509,6506,1896,9263
+,9728,3386,1276,5095,6528
+,7116,141,753,9640,5669
+,9806,1290,3182,3364,6995
+,9026,9166,5603,1457,1499
+,7482,3110,7949,4131,267
+,4121,5228,4191,273,6923
+,9048,9144,930,6546,2945
-,3146,7242,3908,6281,1116
+,5704,8028,2901,6338,4291
+,7471,9056,9444,2639,6624
+,1473,9391,1504,5631,6302
+,5629,5193,9844,8189,7054
+,2925,2917,7115,7225,1927
+,7007,7760,5539,4868,9793
+,3709,8187,4714,6536,2958
+,4916,963,8510,2477,4690
+,1201,4103,3387,7785,8022
+,9866,2171,8537,2884,9011
-,8668,2531,161,4953,906
+,1279,2449,6283,9029,5030
+,6615,4812,652,5285,3247
+,9633,235,8488,4688,2655
+,5736,6835,6949,5165,8224
+,9421,7463,346,6973,8956
+,9713,7542,9853,780,8817
+,2120,7073,7656,897,3058
+,9425,7563,3971,8852,3687
+,7591,9875,6140,3319,7982
+,9706,2585,2882,3402,165
-,9690,6755,2662,6608,5452
+,6724,6981,9551,3112,2084
+,3090,3890,3276,5395,2613
+,4334,1375,7305,6914,1119
+,986,6586,7541,128,6934
+,448,7619,1994,6705,1105
+,640,6776,2503,7846,1182
+,4167,5953,5800,8673,4909
+,2651,9434,8161,5859,9386
+,1653,9391,3238,4678,4976
+,9024,1754,3444,88,206
-,3780,2069,4044,2164,8207
+,1070,8955,8194,373,6615
+,9819,9877,312,7875,3234
+,165,9838,6093,7356,9169
+,2772,47,7821,5363,8084
+,3734,2291,6504,1758,2547
+,2311,6667,594,9013,9999
+,3647,7361,87,4847,1252
+,3859,4866,1160,9048,3384
+,6692,778,4135,2034,5459
+,3701,64,4906,105,5244
-,7986,3444,3812,2851,6575
+,9171,7223,1476,8393,7924
+,3563,1720,8661,2074,7665
+,1394,1187,1725,2808,6085
+,3640,1731,1827,2906,3010
+,1875,1105,938,4198,1961
+,6233,3171,6688,1034,5859
+,2149,210,2871,1380,4546
+,5537,9335,8907,6400,9988
+,3282,6477,1017,8499,8569
+,5712,9012,6160,1444,8825
-,1184,9816,4957,3488,2683
+,5968,7864,6299,5773,8359
+,1686,2904,1259,4359,4834
+,9948,1508,5597,7024,2517
+,9207,6315,9195,4530,4044
+,7830,707,5590,950,306
+,7052,9911,5274,7113,8583
+,5198,9936,8626,5035,2335
+,6193,3295,432,7533,3612
+,5098,9009,2911,6668,1226
+,7115,4207,5898,4248,1534
-,9224,9454,3095,1763,3591
+,413,5896,8815,4732,5500
+,3416,5032,293,3932,3257
+,8291,5403,6946,3554,7317
+,2884,204,8812,1824,203
+,1281,3396,4720,5135,9102
+,4024,4355,1575,1270,160
+,6759,688,3411,1285,1806
+,4038,3168,1320,7046,8041
+,4522,7692,7019,4768,5101
+,1667,1674,3986,8459,6998
-,2285,385,8500,8114,5569
+,1048,4497,5263,6020,7786
+,5526,2842,5071,133,3444
+,164,3337,1258,6552,3382
+,3718,3238,7224,2418,9959
+,4134,8050,137,5414,841
+,6894,6442,8355,4610,1034
+,6436,3288,5561,9943,5483
+,7767,3888,429,8205,4967
+,6530,8714,4340,6122,2884
+,535,3186,6523,2359,9581
-,7770,1750,1098,4918,4069
+,206,9136,9657,5419,8339
+,5608,1910,5356,2227,1272
+,9576,9860,976,6129,771
+,7840,2667,1413,311,6060
+,5205,4187,1613,6940,2618
+,2732,5883,7149,6312,3346
+,976,429,1599,8060,3416
+,7567,1038,1587,9614,234
+,7547,3052,1034,4658,1293
+,3694,4184,9825,2424,1756
-,4066,7037,7177,6512,6030
+,4959,1511,2363,7853,9899
+,9807,3343,4161,9164,7662
+,6434,9918,5840,1470,3284
+,4045,6619,2634,2489,5083
+,7554,6975,7867,7517,8973
+,4571,7568,4765,5779,2288
+,8045,1807,394,5257,4835
+,6161,7552,3636,5150,1488
+,3611,3559,2239,9401,8453
+,6934,1613,8352,2153,6473
-,4520,3085,5287,3522,9982
+,5560,3099,7227,7396,3402
+,6562,897,8856,9555,9895
+,1108,1446,8985,2471,3618
+,2410,1526,5995,7004,700
+,5011,4724,6139,1627,4275
+,6605,2944,8933,9283,8393
+,5506,3774,6512,9857,8187
+,1622,9554,7822,8720,4961
+,5962,8876,9900,6721,280
+,4797,7965,951,9375,4856
-,4155,6191,4573,6074,5772
+,3596,6260,3454,2821,958
+,416,1896,2703,9384,2536
+,4960,7197,5427,2951,7045
+,4072,1908,5034,428,2687
+,2979,464,1008,2246,3501
+,3172,4009,2199,7152,5741
+,6696,7943,1540,5071,4203
+,3116,5072,6142,9077,4306
+,879,7408,8388,4431,771
+,56,250,7998,2828,3369
-,2485,5051,9093,2103,8936
+,6452,5239,3750,3407,1082
+,6001,2986,5969,2714,730
+,8,2071,6799,9067,6509
+,4817,9648,4312,4678,3076
+,1894,9923,6981,2170,850
+,7327,6789,2180,1202,6766
+,5015,2281,4935,9202,2074
+,8571,761,8763,4874,594
+,4105,8881,3843,2583,7466
+,4175,3774,7372,7724,5446
-,1518,1832,1085,3241,9946
+,1402,9887,4968,3464,4887
+,2303,394,2371,1918,8161
+,8390,5530,4225,6933,8572
+,656,9430,1170,2003,9817
+,4078,1381,3770,1270,1305
+,6882,7082,6207,9795,9982
+,8947,1786,3368,9247,6331
+,3436,6483,5406,6575,3599
+,8483,4217,3496,447,1325
+,4975,8033,904,1520,1091
-,4868,1768,8496,8845,5725
+,1371,762,9311,6898,1681
+,926,7282,8679,617,5222
+,9076,1382,6795,9476,7958
+,4978,1941,3562,1912,4492
+,9398,2177,4081,2787,4325
+,8369,7808,8659,9831,4228
+,3952,4856,9312,2782,1197
+,7084,8205,4966,2726,2440
+,399,1125,1793,6122,852
+,7687,2693,6645,3730,9176
-,4789,4814,7697,2031,1394
+,9219,5837,8952,4617,4789
+,7480,9833,4603,3185,4821
+,6886,1190,4778,7843,4968
+,5929,1342,2538,8167,2284
+,1391,3860,1145,5552,3010
+,7432,528,8678,6094,6169
+,9018,208,9314,6198,8570
+,6333,8254,6153,5917,7095
+,1091,5423,1771,2528,985
+,1972,9876,292,4640,8944
-,8415,2663,9580,6689,8529
+,9879,4574,7045,1077,1211
+,9878,9011,2643,1866,5670
+,6095,1651,6491,5169,4381
+,6813,7627,3606,9808,4592
+,2617,179,292,2140,2852
+,2247,5812,2588,9777,237
+,600,7638,6066,8827,3204
+,73,419,3184,6494,4083
+,4699,2942,9893,7571,4749
+,1913,8074,8013,342,9811
-,3252,2319,8382,1215,6073
+,4246,9103,9061,5361,1446
+,3761,9584,3496,3439,1599
+,5536,3073,9801,3718,9240
+,1589,1061,7460,1975,1685
+,3916,3785,9423,135,2803
+,5969,8009,3465,7974,7954
+,7053,1950,9962,6470,328
+,5479,6896,9574,6130,1980
+,6216,2032,556,7391,2119
+,2887,5649,39,5701,1720
-,8463,3041,1561,1535,1423
+,3053,3943,570,4263,9991
+,9834,551,5493,8122,7710
+,2325,8368,5404,9952,3631
+,2828,7594,8009,3366,1727
+,5721,4635,1768,9610,4472
+,3806,8257,2105,6113,9805
+,2383,5173,449,7476,8054
+,8964,4459,1256,1804,6519
+,8552,763,2447,8374,6891
+,1004,2510,5461,9277,4154
-,4252,2623,9591,9225,6153
+,3173,212,2993,961,1459
+,7198,7266,5677,8380,1891
+,8080,2275,5048,5370,6534
+,9740,225,8420,7865,5578
+,6430,5611,2869,9104,1285
+,2883,4784,8870,7835,9050
+,6788,1626,3456,6382,7590
+,4880,2097,5808,2270,6322
+,317,1508,4010,7563,9289
+,5245,2742,1470,7767,3292
-,9443,6364,9019,8608,1876
+,7157,7701,3819,4981,9824
+,2820,7327,1610,3587,6234
+,2212,4693,987,7244,1538
+,6758,3223,8507,2418,7134
+,2568,6481,40,8715,7393
+,3289,1403,5653,9625,9652
+,7020,4531,2636,8460,107
+,7236,9489,2005,9249,9783
+,5727,8660,9152,5044,7636
+,3445,1838,3505,8116,631
-,6550,6283,2338,5304,1874
+,4300,2681,2523,89,2733
+,4574,8104,7491,4895,7750
+,5134,3988,899,8550,7811
+,1290,9316,3681,4104,5502
+,6359,4770,3349,8562,3499
+,5438,1993,172,7018,2727
+,4048,1402,6130,1725,8912
+,5063,3098,5485,6611,315
+,9168,3363,1325,8950,8106
+,4415,6132,3687,970,2501
-,776,5930,931,7078,4192
+,439,7663,3062,974,1005
+,3263,9464,406,9750,577
+,298,2583,1038,4309,3803
+,7373,8896,4173,1697,9540
+,5321,347,1678,2181,8860
+,2387,6354,3387,2834,2276
+,8187,3999,1679,557,7621
+,1060,5360,7404,1073,7332
+,5985,7679,6489,6028,8304
+,8387,2565,7241,300,5022
-,5787,7580,8906,4026,2745
+,9380,111,9169,2386,3702
+,3830,156,4646,4011,8434
+,6966,1679,2673,856,3997
+,1430,7632,4404,6298,2604
+,4782,6308,6111,6076,9483
+,1918,4693,8859,1249,3225
+,199,6945,7553,5930,5687
+,9164,6585,8618,2230,9109
+,6773,8154,1436,6736,2336
+,4195,7046,8955,3864,7941
-,233,6956,2763,5341,3279
+,1482,4226,4576,579,1310
+,9476,1836,6678,1900,8839
+,5879,6293,8155,7121,5477
+,9273,2778,5985,9735,3470
+,2601,4873,5165,7742,7022
+,7195,8802,7939,6346,7146
+,3986,6326,7865,7542,1967
+,9045,2054,9715,2974,6757
+,4698,4745,3779,125,4158
+,4039,9675,8923,6586,9306
-,5937,4152,2467,8810,6193
+,5635,6377,7789,668,5520
+,9147,5136,5226,2086,8206
+,9799,6150,5306,383,5720
+,3385,9015,9606,6213,343
+,977,7036,2893,5260,5265
+,9313,8186,6934,8739,8654
+,4769,6297,9568,4055,6919
+,1531,9305,8759,5816,2042
+,8558,5484,4037,7375,4443
+,1465,2575,9305,7193,568
-,6350,7763,1648,5333,6800
+,9143,440,4205,6800,8407
+,6296,1312,4012,7125,9774
+,2970,5329,3836,6036,1573
+,9105,3809,9602,6792,7137
+,7742,6841,6282,9922,391
+,4674,5254,6490,3822,2499
+,9700,7915,9333,4476,9243
+,7974,5831,3453,373,3723
+,8208,533,389,8573,3082
+,1089,5710,3304,6746,2901
-,1189,5808,2982,3378,5372
+,5333,2272,2972,1866,3561
+,8444,7979,6948,8764,7546
+,6673,4972,1695,9646,5350
+,1621,5372,5430,6259,4484
+,7284,9477,5462,7771,166
+,1035,4493,6719,7326,1395
+,6900,2113,9501,9947,8773
+,3743,5242,1514,4439,6884
+,5583,6045,8138,7639,356
+,8078,8246,5396,8023,146
-,187,1592,1056,2983,440
+,6797,4918,4645,2087,8067
+,2220,4017,3161,7634,6222
+,7128,6519,6172,6612,1929
+,5875,9275,3703,3392,6399
+,6019,5875,9844,8804,2171
+,8189,1574,9354,4751,2319
+,7911,5677,9834,5965,4564
+,4704,424,6025,1571,994
+,8852,7642,3358,2227,276
+,20,5722,3652,1945,9339
-,7007,7760,5539,4868,9793
+,9682,2695,6826,4655,2706
+,9702,9517,7598,6730,4132
+,4178,3878,6972,223,3448
+,3511,7653,7082,3363,2357
+,7790,6471,2750,3546,2415
+,2397,2384,468,4512,297
+,8632,5984,74,3308,4672
+,6327,7610,3789,234,1818
+,1587,868,3497,1610,1196
+,4394,2377,2817,6671,5567
-,2228,2494,6330,801,5279
+,5768,1371,8900,1559,1972
+,7001,3813,4134,1473,7931
+,6565,1032,8048,7283,4634
+,9569,6988,50,7618,9875
+,8758,8062,8731,9135,352
+,5643,3869,9722,7475,1745
+,2575,3032,1551,1325,3331
+,5552,3809,7687,7241,3205
+,8008,936,871,3394,4768
+,6922,9025,9479,4973,3935
-,315,9059,9775,1007,9756
+,1128,2096,8454,6161,9926
+,6637,1868,3814,7183,2085
+,9564,9973,116,561,8154
+,7131,8313,4348,5074,3035
+,2557,4713,6354,3008,9949
+,3856,9083,8341,719,9243
+,5916,2713,9495,7890,9906
+,1056,3264,1147,101,7877
+,4127,9002,8861,9081,8301
+,3095,7332,33,8006,6363
-,3850,5697,7097,7424,7227
+,3738,3950,9742,1256,1555
+,7078,3108,8553,178,8053
+,7562,3452,352,5769,2934
+,5090,1308,7197,4553,3597
+,1332,9681,7675,4514,5008
+,8723,5873,4127,6211,5583
+,7940,5998,4723,7625,5274
+,3597,5414,2701,1706,8323
+,2958,4552,8766,7658,8769
+,5703,3895,3180,2464,3479
-,3232,9378,7125,3086,6214
+,4455,309,6766,8997,9330
+,4820,5192,7440,4826,1050
+,5164,813,140,5409,4502
+,7355,2732,7124,9589,6120
+,4062,357,9778,8655,1857
+,779,1846,3826,8118,8928
+,4936,8380,4748,2721,1954
+,8697,8996,6622,4829,9330
+,2989,8898,3944,3424,2908
+,1926,8572,7520,4551,457
-,2567,6862,6749,6772,9402
+,1351,2332,8759,9667,4555
+,3139,516,7483,8826,9815
+,8349,2384,9944,2206,9673
+,2318,6689,9565,3497,979
+,2797,735,9380,5096,4496
+,5221,488,6311,155,3180
+,7387,9992,8897,368,2289
+,361,6273,3004,1758,7300
+,2980,3701,2644,6511,6654
+,2117,9600,5875,8706,8936
-,2783,9880,3485,1319,5058
+,7017,1811,2470,3223,8433
+,9184,9234,6462,1274,682
+,4346,70,2508,2157,2789
+,8587,5237,8886,4470,9765
+,9793,8137,6124,7524,4316
+,8736,7288,6799,5135,7516
+,1160,68,7480,8005,473
